Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF200_GC.csv,20240701_093240,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
125512.0,2.0918667316436768,18875.0,18875.0,77.86894226074219,1.0,155.0,0.7840688159108122,0.7179470068550023,0.9789912104606628,251.21519071215715,245.79654328777846,253.4889740471596
125791.0,2.0965166091918945,24870.0,24870.0,8.862853050231934,163.0,72.0,0.4094316856493291,0.36537993792603224,0.9723185300827026,245.36209046226787,250.52035987991047,247.71730528317542
126070.0,2.1011667251586914,24421.0,24421.0,8.162031173706055,127.0,8.0,0.5006659163780023,0.6627450980392157,0.9728182554244995,243.47494029998782,252.62566160718686,252.66236996650693
126350.0,2.1058332920074463,24099.0,24099.0,9.516261100769043,76.0,4.0,0.5628787055125736,0.7420888667791858,0.9731766581535339,243.0841954738621,249.40594387875794,253.2359001844402
126629.0,2.110483407974243,24929.0,24929.0,8.60396957397461,162.0,73.0,0.4101807326806733,0.3577235900229399,0.9722528457641602,245.39339370518883,250.45555763453285,247.72747850342884
126908.0,2.115133285522461,23537.0,23537.0,8.274200439453125,78.0,4.0,0.5606705349386576,0.7378908396203967,0.9738022089004517,243.39013020160058,249.66014024346075,253.24899633762976
127188.0,2.119800090789795,23570.0,23570.0,7.650655746459961,162.0,71.0,0.4127526345773371,0.36714344591837,0.97376549243927,245.85408455752028,250.76631658650743,248.19484076926372
127467.0,2.1244499683380127,23411.0,23411.0,8.872976303100586,76.0,5.0,0.5633396726488251,0.736973246157356,0.9739424586296082,243.45838068364264,249.53022153515988,253.2522732174575
127746.0,2.1291000843048096,22301.0,22301.0,9.366640090942383,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9751779437065125,243.95960972897765,249.7647801897209,253.3811415613437
128026.0,2.1337666511535645,21821.0,21821.0,8.733633995056152,69.0,4.0,0.5704060442831853,0.7578780145691787,0.9757121801376343,244.11276873774335,249.53474901755104,253.50044313245013
128305.0,2.1384167671203613,22126.0,22126.0,9.090290069580078,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9753727316856384,244.0185597990469,249.68986077097162,253.4215333606287
128584.0,2.143066644668579,22172.0,22172.0,8.70140266418457,128.0,8.0,0.4993340836219977,0.6627450980392157,0.9753215312957764,244.5363292694092,252.87765169143674,252.8443239521466
128864.0,2.147733449935913,28100.0,28100.0,8.022324562072754,67.0,1.0,0.5709999032550662,0.7776679221588997,0.9687233567237854,240.82213120644198,247.9424072292895,253.22678072268857
129143.0,2.152383327484131,37029.0,37029.0,3.875051498413086,103.0,31.0,0.5395711275567816,0.5521618760913225,0.9587849378585815,238.68702571495567,247.53765419040485,250.29329259292092
129422.0,2.1570334434509277,34035.0,34035.0,4.465281963348389,103.0,31.0,0.5395711275567816,0.5521618760913225,0.9621174335479736,240.00603176909047,248.14103154691352,250.67385934037608
129701.0,2.1616833209991455,29058.0,29058.0,6.9591593742370605,28.0,0.0,0.6054672165574752,0.896942561843535,0.9676570296287537,239.3550469462163,244.7877189077729,254.15003816444806
129981.0,2.1663498878479004,26553.0,26553.0,9.181560516357422,29.0,3.0,0.6065272213426133,0.8804336424131067,0.9704452157020569,240.8281682745307,245.6167319617652,254.09889173351831
